timestamp,lat,lon,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,heading,opt_heading,hor_speed, ctime
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-66.0,5.25,-96.89999999999999,196.5938406022866,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-94.35,13.049999999999999,-96.89999999999999,186.89366948868837,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-94.35,13.049999999999999,-96.89999999999999,186.89366948868837,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-70.8,6.6,-105.14999999999999,194.23208851438994,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.670615864999998,0.30596748,-0.15298374,-70.8,6.6,-105.14999999999999,194.23208851438994,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.900091475,0.038245935,0.22947561,-70.5,4.2,-104.25,196.97906452280574,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.900091475,0.038245935,0.22947561,-75.0,5.3999999999999995,-105.3,195.61477635047356,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.900091475,0.038245935,0.22947561,-75.0,5.3999999999999995,-105.3,195.61477635047356,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.900091475,0.038245935,0.22947561,-94.35,14.1,-103.35,185.26118772344682,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.900091475,0.038245935,0.22947561,-69.3,30.15,-104.39999999999999,165.76791148561006,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.364648384999999,0.07649187,0.344213415,-70.64999999999999,21.9,-102.89999999999999,175.65792499919826,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.364648384999999,0.07649187,0.344213415,-72.89999999999999,9.299999999999999,-103.05,191.06051212383,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.364648384999999,0.07649187,0.344213415,-72.89999999999999,9.299999999999999,-103.05,191.06051212383,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.364648384999999,0.07649187,0.344213415,-72.89999999999999,19.5,-100.5,178.61184406194343,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.441140255,0.344213415,0.15298374,-73.05,12.15,-101.25,187.63708018831971,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.441140255,0.344213415,0.15298374,-77.85,9.75,-101.25,190.52461894495707,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,10.441140255,0.344213415,0.15298374,-77.85,9.75,-101.25,190.52461894495707,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.344213415,-0.15298374,-74.1,11.7,-103.64999999999999,188.18193027264158,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.344213415,-0.15298374,-74.1,11.7,-103.64999999999999,188.18193027264158,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.344213415,-0.15298374,-71.1,12.299999999999999,-101.1,187.45514931491584,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.344213415,-0.15298374,-71.1,12.299999999999999,-101.1,187.45514931491584,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.344213415,-0.15298374,-76.95,15.0,-102.0,184.15796820227376,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559312.0,50.347348333333336,19.536516666666667,9.867451229999999,0.45895122,-0.07649187,-78.75,11.1,-96.89999999999999,189.37913847315372,202.18486319645456,0.0,Sat Apr 15 13:48:32 2023
1681559313.0,50.347348333333336,19.536516666666667,9.867451229999999,0.45895122,-0.07649187,-78.75,11.1,-96.89999999999999,189.37913847315372,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,9.867451229999999,0.45895122,-0.07649187,-69.89999999999999,12.299999999999999,-103.5,187.45514931491584,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,9.867451229999999,0.45895122,-0.07649187,-69.89999999999999,12.299999999999999,-103.5,187.45514931491584,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.47938619,0.38245935,-0.38245935,-77.85,14.25,-101.39999999999999,185.0775670486347,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.47938619,0.38245935,-0.38245935,-73.05,26.4,-101.1,170.19279765241367,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.40289432,0.191229675,-0.15298374,-70.64999999999999,13.35,-104.1,186.17759330475633,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.40289432,0.191229675,-0.15298374,-70.2,11.1,-103.35,188.90606998094495,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-68.7,9.9,-103.64999999999999,190.34556840896903,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-68.7,9.9,-103.64999999999999,190.34556840896903,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-68.7,9.9,-100.35,190.34556840896903,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-71.85,10.5,-103.05,189.62735280025447,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-73.8,8.1,-102.75,192.47979507823834,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.24991058,0.114737805,0.114737805,-73.8,8.1,-102.75,192.47979507823834,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.09692684,-0.650180895,-0.30596748,-90.6,15.149999999999999,-102.45,183.9737753498904,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
1681559313.0,50.347348333333336,19.536516666666667,10.09692684,-0.650180895,-0.30596748,-69.0,28.65,-105.14999999999999,167.52020492176166,202.18486319645456,0.0,Sat Apr 15 13:48:33 2023
